Loading Quora data...
Starting training...
  epoch: 1

train_loss:  265.025
valid_loss:  107.362
eval_loss:   107.810
valid_acc:   0.669
eval_acc:    0.672


train_loss:  232.767
valid_loss:  101.224
eval_loss:   102.611
valid_acc:   0.689
eval_acc:    0.686


train_loss:  219.599
valid_loss:  92.496
eval_loss:   94.043
valid_acc:   0.724
eval_acc:    0.722


train_loss:  212.023
valid_loss:  109.437
eval_loss:   110.892
valid_acc:   0.699
eval_acc:    0.696


train_loss:  204.854
valid_loss:  117.020
eval_loss:   118.252
valid_acc:   0.699
eval_acc:    0.699


train_loss:  205.236
valid_loss:  119.964
eval_loss:   120.287
valid_acc:   0.711
eval_acc:    0.711


train_loss:  200.616
valid_loss:  92.250
eval_loss:   92.499
valid_acc:   0.735
eval_acc:    0.738


train_loss:  196.200
valid_loss:  106.791
eval_loss:   107.528
valid_acc:   0.719
eval_acc:    0.721


train_loss:  197.373
valid_loss:  95.146
eval_loss:   96.256
valid_acc:   0.740
eval_acc:    0.739


train_loss:  191.238
valid_loss:  78.775
eval_loss:   79.508
valid_acc:   0.767
eval_acc:    0.769


train_loss:  189.439
valid_loss:  82.342
eval_loss:   82.532
valid_acc:   0.757
eval_acc:    0.761


train_loss:  188.596
valid_loss:  66.743
eval_loss:   67.543
valid_acc:   0.807
eval_acc:    0.805

  epoch: 2

train_loss:  178.592
valid_loss:  64.385
eval_loss:   65.657
valid_acc:   0.811
eval_acc:    0.807


train_loss:  178.172
valid_loss:  67.119
eval_loss:   68.098
valid_acc:   0.808
eval_acc:    0.806


train_loss:  176.518
valid_loss:  65.017
eval_loss:   65.913
valid_acc:   0.806
eval_acc:    0.803


train_loss:  178.797
valid_loss:  61.860
eval_loss:   62.331
valid_acc:   0.822
eval_acc:    0.823


train_loss:  170.770
valid_loss:  72.850
eval_loss:   74.380
valid_acc:   0.791
eval_acc:    0.786


train_loss:  172.404
valid_loss:  65.391
eval_loss:   66.120
valid_acc:   0.807
eval_acc:    0.809


train_loss:  170.797
valid_loss:  61.326
eval_loss:   61.621
valid_acc:   0.823
eval_acc:    0.822


train_loss:  172.452
valid_loss:  60.626
eval_loss:   61.661
valid_acc:   0.820
eval_acc:    0.822


train_loss:  168.001
valid_loss:  60.544
eval_loss:   60.346
valid_acc:   0.827
eval_acc:    0.829


train_loss:  170.590
valid_loss:  62.761
eval_loss:   62.976
valid_acc:   0.815
eval_acc:    0.813


train_loss:  167.000
valid_loss:  64.398
eval_loss:   64.769
valid_acc:   0.808
eval_acc:    0.812


train_loss:  164.475
valid_loss:  59.732
eval_loss:   60.488
valid_acc:   0.827
eval_acc:    0.827

  epoch: 3

train_loss:  157.433
valid_loss:  59.844
eval_loss:   60.442
valid_acc:   0.827
eval_acc:    0.825


train_loss:  157.615
valid_loss:  63.141
eval_loss:   62.959
valid_acc:   0.811
eval_acc:    0.811


train_loss:  154.066
valid_loss:  61.630
eval_loss:   61.547
valid_acc:   0.819
eval_acc:    0.816


train_loss:  157.046
valid_loss:  61.184
eval_loss:   61.752
valid_acc:   0.824
eval_acc:    0.822


train_loss:  155.279
valid_loss:  58.359
eval_loss:   58.414
valid_acc:   0.828
eval_acc:    0.832


train_loss:  156.594
valid_loss:  60.519
eval_loss:   60.553
valid_acc:   0.826
eval_acc:    0.834


train_loss:  154.224
valid_loss:  60.071
eval_loss:   60.998
valid_acc:   0.819
eval_acc:    0.822


train_loss:  155.241
valid_loss:  58.274
eval_loss:   59.394
valid_acc:   0.827
eval_acc:    0.828


train_loss:  153.040
valid_loss:  58.476
eval_loss:   59.022
valid_acc:   0.831
eval_acc:    0.832


train_loss:  156.220
valid_loss:  63.232
eval_loss:   63.156
valid_acc:   0.811
eval_acc:    0.811


train_loss:  153.916
valid_loss:  63.238
eval_loss:   64.084
valid_acc:   0.808
eval_acc:    0.803


train_loss:  155.870
valid_loss:  59.213
eval_loss:   60.293
valid_acc:   0.824
eval_acc:    0.821

  epoch: 4

train_loss:  144.208
valid_loss:  65.131
eval_loss:   65.913
valid_acc:   0.811
eval_acc:    0.807


train_loss:  142.299
valid_loss:  62.232
eval_loss:   62.632
valid_acc:   0.818
eval_acc:    0.814


train_loss:  143.620
valid_loss:  64.276
eval_loss:   63.487
valid_acc:   0.813
eval_acc:    0.814


train_loss:  144.762
valid_loss:  58.311
eval_loss:   57.714
valid_acc:   0.831
eval_acc:    0.834


train_loss:  145.552
valid_loss:  59.301
eval_loss:   59.069
valid_acc:   0.829
eval_acc:    0.831


train_loss:  145.047
valid_loss:  57.666
