1	What is your review of Hidden Figures -LRB- 2016 movie -RRB- ?	What are your impressions of Hidden Figures -LRB- 2017 movie -RRB- ?	11877
0	Currently , all Supreme Court Justices come from very elite law schools , is it similar for the best lawyers in private practice ?	What 's your type of jungle -LRB- concrete or nature -RRB- and why ?	221489
1	Why is saltwater taffy candy imported in Austria ?	Why is salt water taffy candy unknown in Japan ?	92126
0	Who has the better stable of characters , DC or Marvel ?	Which is better - DC or Marvel ?	289278
1	What is difference between CAT and GMAT in terms of syllabus , admission , difficulty and acceptance ?	What is the difference between the CAT and GMAT syllabus ?	328558
0	How can I stop being addicted to love ?	How can I stop being so addicted to my phone ?	113121
1	How did we get a picture of the Milky Way Galaxy ?	How is the picture of our Milky Way galaxy taken from the outside if we are inside the galaxy ?	383305
0	Is a APK file just a hidden app ?	Where do APK files get stored in Android Studio ?	383979
1	What is a neutron star made of ?	Is the neutron star made up of ?	277544
0	What happened to Percival Graves when MACUSA figured out that it 's not him in Fantastic Beast and Where to Find them ?	-LSB- SPOILER -RSB- In Fantastic Beasts and Where to Find Them , why did Gellert Grindelwald hunt the Obscurial ?	315081
